PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=108 ttl=64 time=10.6 ms
264 bytes from 10.10.10.3: icmp_seq=109 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=110 ttl=64 time=11.5 ms
264 bytes from 10.10.10.3: icmp_seq=111 ttl=64 time=12.6 ms
264 bytes from 10.10.10.3: icmp_seq=112 ttl=64 time=12.7 ms
264 bytes from 10.10.10.3: icmp_seq=113 ttl=64 time=11.5 ms
264 bytes from 10.10.10.3: icmp_seq=114 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=115 ttl=64 time=9.42 ms
264 bytes from 10.10.10.3: icmp_seq=116 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=117 ttl=64 time=13.7 ms
264 bytes from 10.10.10.3: icmp_seq=118 ttl=64 time=12.4 ms
264 bytes from 10.10.10.3: icmp_seq=119 ttl=64 time=9.59 ms
264 bytes from 10.10.10.3: icmp_seq=120 ttl=64 time=10.8 ms
264 bytes from 10.10.10.3: icmp_seq=121 ttl=64 time=13.1 ms
264 bytes from 10.10.10.3: icmp_seq=122 ttl=64 time=13.8 ms
264 bytes from 10.10.10.3: icmp_seq=123 ttl=64 time=10.3 ms
264 bytes from 10.10.10.3: icmp_seq=124 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=125 ttl=64 time=11.7 ms
264 bytes from 10.10.10.3: icmp_seq=126 ttl=64 time=6.79 ms
264 bytes from 10.10.10.3: icmp_seq=127 ttl=64 time=7.03 ms
264 bytes from 10.10.10.3: icmp_seq=128 ttl=64 time=8.60 ms
264 bytes from 10.10.10.3: icmp_seq=129 ttl=64 time=13.3 ms
264 bytes from 10.10.10.3: icmp_seq=130 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=131 ttl=64 time=12.1 ms
264 bytes from 10.10.10.3: icmp_seq=132 ttl=64 time=11.8 ms
264 bytes from 10.10.10.3: icmp_seq=133 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=134 ttl=64 time=11.3 ms
264 bytes from 10.10.10.3: icmp_seq=135 ttl=64 time=12.7 ms
264 bytes from 10.10.10.3: icmp_seq=136 ttl=64 time=12.3 ms
264 bytes from 10.10.10.3: icmp_seq=137 ttl=64 time=12.2 ms
264 bytes from 10.10.10.3: icmp_seq=138 ttl=64 time=8.55 ms
264 bytes from 10.10.10.3: icmp_seq=139 ttl=64 time=9.09 ms
264 bytes from 10.10.10.3: icmp_seq=140 ttl=64 time=11.2 ms
264 bytes from 10.10.10.3: icmp_seq=141 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=142 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=143 ttl=64 time=11.2 ms
264 bytes from 10.10.10.3: icmp_seq=144 ttl=64 time=12.1 ms
264 bytes from 10.10.10.3: icmp_seq=145 ttl=64 time=7.46 ms
264 bytes from 10.10.10.3: icmp_seq=146 ttl=64 time=7.83 ms
264 bytes from 10.10.10.3: icmp_seq=147 ttl=64 time=9.10 ms
264 bytes from 10.10.10.3: icmp_seq=148 ttl=64 time=11.1 ms
264 bytes from 10.10.10.3: icmp_seq=149 ttl=64 time=7.48 ms
264 bytes from 10.10.10.3: icmp_seq=150 ttl=64 time=8.50 ms
264 bytes from 10.10.10.3: icmp_seq=151 ttl=64 time=8.00 ms
264 bytes from 10.10.10.3: icmp_seq=152 ttl=64 time=8.94 ms
264 bytes from 10.10.10.3: icmp_seq=153 ttl=64 time=8.69 ms
264 bytes from 10.10.10.3: icmp_seq=154 ttl=64 time=9.85 ms
264 bytes from 10.10.10.3: icmp_seq=155 ttl=64 time=9.86 ms
264 bytes from 10.10.10.3: icmp_seq=156 ttl=64 time=7.96 ms
264 bytes from 10.10.10.3: icmp_seq=157 ttl=64 time=7.71 ms
264 bytes from 10.10.10.3: icmp_seq=158 ttl=64 time=10.1 ms
264 bytes from 10.10.10.3: icmp_seq=159 ttl=64 time=7.84 ms
264 bytes from 10.10.10.3: icmp_seq=160 ttl=64 time=9.77 ms
264 bytes from 10.10.10.3: icmp_seq=161 ttl=64 time=10.5 ms
264 bytes from 10.10.10.3: icmp_seq=162 ttl=64 time=12.2 ms
264 bytes from 10.10.10.3: icmp_seq=163 ttl=64 time=7.79 ms
264 bytes from 10.10.10.3: icmp_seq=164 ttl=64 time=8.44 ms
264 bytes from 10.10.10.3: icmp_seq=165 ttl=64 time=13.1 ms
264 bytes from 10.10.10.3: icmp_seq=166 ttl=64 time=8.07 ms
264 bytes from 10.10.10.3: icmp_seq=167 ttl=64 time=11.9 ms
