PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=109 ttl=64 time=12.9 ms
264 bytes from 10.10.10.3: icmp_seq=110 ttl=64 time=9.82 ms
264 bytes from 10.10.10.3: icmp_seq=111 ttl=64 time=12.6 ms
264 bytes from 10.10.10.3: icmp_seq=112 ttl=64 time=12.9 ms
264 bytes from 10.10.10.3: icmp_seq=113 ttl=64 time=14.5 ms
264 bytes from 10.10.10.3: icmp_seq=114 ttl=64 time=14.3 ms
264 bytes from 10.10.10.3: icmp_seq=115 ttl=64 time=16.4 ms
264 bytes from 10.10.10.3: icmp_seq=116 ttl=64 time=17.4 ms
264 bytes from 10.10.10.3: icmp_seq=117 ttl=64 time=17.9 ms
264 bytes from 10.10.10.3: icmp_seq=118 ttl=64 time=19.1 ms
264 bytes from 10.10.10.3: icmp_seq=119 ttl=64 time=19.6 ms
264 bytes from 10.10.10.3: icmp_seq=120 ttl=64 time=22.2 ms
264 bytes from 10.10.10.3: icmp_seq=121 ttl=64 time=23.3 ms
264 bytes from 10.10.10.3: icmp_seq=122 ttl=64 time=5.15 ms
264 bytes from 10.10.10.3: icmp_seq=123 ttl=64 time=7.17 ms
264 bytes from 10.10.10.3: icmp_seq=124 ttl=64 time=8.03 ms
264 bytes from 10.10.10.3: icmp_seq=125 ttl=64 time=8.11 ms
264 bytes from 10.10.10.3: icmp_seq=126 ttl=64 time=9.72 ms
264 bytes from 10.10.10.3: icmp_seq=127 ttl=64 time=10.2 ms
264 bytes from 10.10.10.3: icmp_seq=128 ttl=64 time=10.2 ms
264 bytes from 10.10.10.3: icmp_seq=129 ttl=64 time=9.31 ms
264 bytes from 10.10.10.3: icmp_seq=130 ttl=64 time=9.75 ms
264 bytes from 10.10.10.3: icmp_seq=131 ttl=64 time=10.2 ms
264 bytes from 10.10.10.3: icmp_seq=132 ttl=64 time=10.7 ms
264 bytes from 10.10.10.3: icmp_seq=133 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=134 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=135 ttl=64 time=10.7 ms
264 bytes from 10.10.10.3: icmp_seq=136 ttl=64 time=10.1 ms
264 bytes from 10.10.10.3: icmp_seq=137 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=138 ttl=64 time=10.1 ms
