PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=122 ttl=64 time=13.9 ms
264 bytes from 10.10.10.3: icmp_seq=123 ttl=64 time=15.7 ms
264 bytes from 10.10.10.3: icmp_seq=124 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=125 ttl=64 time=12.3 ms
264 bytes from 10.10.10.3: icmp_seq=126 ttl=64 time=11.6 ms
264 bytes from 10.10.10.3: icmp_seq=127 ttl=64 time=14.0 ms
264 bytes from 10.10.10.3: icmp_seq=128 ttl=64 time=14.6 ms
264 bytes from 10.10.10.3: icmp_seq=129 ttl=64 time=12.9 ms
264 bytes from 10.10.10.3: icmp_seq=130 ttl=64 time=12.4 ms
264 bytes from 10.10.10.3: icmp_seq=131 ttl=64 time=13.5 ms
264 bytes from 10.10.10.3: icmp_seq=132 ttl=64 time=12.2 ms
264 bytes from 10.10.10.3: icmp_seq=133 ttl=64 time=12.9 ms
264 bytes from 10.10.10.3: icmp_seq=134 ttl=64 time=16.1 ms
264 bytes from 10.10.10.3: icmp_seq=135 ttl=64 time=14.9 ms
264 bytes from 10.10.10.3: icmp_seq=136 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=137 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=138 ttl=64 time=12.4 ms
264 bytes from 10.10.10.3: icmp_seq=139 ttl=64 time=14.4 ms
264 bytes from 10.10.10.3: icmp_seq=140 ttl=64 time=13.0 ms
264 bytes from 10.10.10.3: icmp_seq=141 ttl=64 time=12.3 ms
264 bytes from 10.10.10.3: icmp_seq=142 ttl=64 time=9.71 ms
264 bytes from 10.10.10.3: icmp_seq=143 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=144 ttl=64 time=8.85 ms
264 bytes from 10.10.10.3: icmp_seq=145 ttl=64 time=14.9 ms
264 bytes from 10.10.10.3: icmp_seq=146 ttl=64 time=16.0 ms
264 bytes from 10.10.10.3: icmp_seq=147 ttl=64 time=14.4 ms
264 bytes from 10.10.10.3: icmp_seq=148 ttl=64 time=13.8 ms
264 bytes from 10.10.10.3: icmp_seq=149 ttl=64 time=15.5 ms
264 bytes from 10.10.10.3: icmp_seq=150 ttl=64 time=15.7 ms
264 bytes from 10.10.10.3: icmp_seq=151 ttl=64 time=13.3 ms
264 bytes from 10.10.10.3: icmp_seq=152 ttl=64 time=13.4 ms
264 bytes from 10.10.10.3: icmp_seq=153 ttl=64 time=14.7 ms
264 bytes from 10.10.10.3: icmp_seq=154 ttl=64 time=14.7 ms
264 bytes from 10.10.10.3: icmp_seq=155 ttl=64 time=15.2 ms
264 bytes from 10.10.10.3: icmp_seq=156 ttl=64 time=13.0 ms
264 bytes from 10.10.10.3: icmp_seq=157 ttl=64 time=16.2 ms
264 bytes from 10.10.10.3: icmp_seq=158 ttl=64 time=11.4 ms
264 bytes from 10.10.10.3: icmp_seq=159 ttl=64 time=11.8 ms
264 bytes from 10.10.10.3: icmp_seq=160 ttl=64 time=11.5 ms
264 bytes from 10.10.10.3: icmp_seq=161 ttl=64 time=12.8 ms
264 bytes from 10.10.10.3: icmp_seq=162 ttl=64 time=13.1 ms
264 bytes from 10.10.10.3: icmp_seq=163 ttl=64 time=14.7 ms
