PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=108 ttl=64 time=0.813 ms
264 bytes from 10.10.10.3: icmp_seq=109 ttl=64 time=0.311 ms
264 bytes from 10.10.10.3: icmp_seq=111 ttl=64 time=0.315 ms
264 bytes from 10.10.10.3: icmp_seq=112 ttl=64 time=0.340 ms
264 bytes from 10.10.10.3: icmp_seq=113 ttl=64 time=1.15 ms
264 bytes from 10.10.10.3: icmp_seq=114 ttl=64 time=3.62 ms
264 bytes from 10.10.10.3: icmp_seq=115 ttl=64 time=1.99 ms
264 bytes from 10.10.10.3: icmp_seq=116 ttl=64 time=1.69 ms
264 bytes from 10.10.10.3: icmp_seq=117 ttl=64 time=2.84 ms
264 bytes from 10.10.10.3: icmp_seq=118 ttl=64 time=0.312 ms
264 bytes from 10.10.10.3: icmp_seq=119 ttl=64 time=0.310 ms
264 bytes from 10.10.10.3: icmp_seq=120 ttl=64 time=0.351 ms
264 bytes from 10.10.10.3: icmp_seq=121 ttl=64 time=0.329 ms
264 bytes from 10.10.10.3: icmp_seq=122 ttl=64 time=5.75 ms
264 bytes from 10.10.10.3: icmp_seq=123 ttl=64 time=6.13 ms
264 bytes from 10.10.10.3: icmp_seq=124 ttl=64 time=8.52 ms
264 bytes from 10.10.10.3: icmp_seq=125 ttl=64 time=8.33 ms
264 bytes from 10.10.10.3: icmp_seq=126 ttl=64 time=10.1 ms
264 bytes from 10.10.10.3: icmp_seq=127 ttl=64 time=10.9 ms
264 bytes from 10.10.10.3: icmp_seq=128 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=129 ttl=64 time=9.63 ms
264 bytes from 10.10.10.3: icmp_seq=130 ttl=64 time=11.2 ms
264 bytes from 10.10.10.3: icmp_seq=131 ttl=64 time=9.73 ms
264 bytes from 10.10.10.3: icmp_seq=132 ttl=64 time=8.27 ms
264 bytes from 10.10.10.3: icmp_seq=133 ttl=64 time=10.1 ms
264 bytes from 10.10.10.3: icmp_seq=134 ttl=64 time=6.18 ms
264 bytes from 10.10.10.3: icmp_seq=135 ttl=64 time=9.98 ms
264 bytes from 10.10.10.3: icmp_seq=136 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=137 ttl=64 time=9.37 ms
264 bytes from 10.10.10.3: icmp_seq=138 ttl=64 time=9.19 ms
264 bytes from 10.10.10.3: icmp_seq=139 ttl=64 time=8.42 ms
264 bytes from 10.10.10.3: icmp_seq=140 ttl=64 time=7.73 ms
264 bytes from 10.10.10.3: icmp_seq=141 ttl=64 time=4.24 ms
264 bytes from 10.10.10.3: icmp_seq=142 ttl=64 time=6.44 ms
264 bytes from 10.10.10.3: icmp_seq=143 ttl=64 time=7.63 ms
264 bytes from 10.10.10.3: icmp_seq=144 ttl=64 time=7.61 ms
264 bytes from 10.10.10.3: icmp_seq=145 ttl=64 time=7.46 ms
264 bytes from 10.10.10.3: icmp_seq=146 ttl=64 time=7.84 ms
264 bytes from 10.10.10.3: icmp_seq=147 ttl=64 time=9.31 ms
264 bytes from 10.10.10.3: icmp_seq=148 ttl=64 time=12.0 ms
264 bytes from 10.10.10.3: icmp_seq=149 ttl=64 time=9.68 ms
264 bytes from 10.10.10.3: icmp_seq=150 ttl=64 time=6.86 ms

--- 10.10.10.3 ping statistics ---
150 packets transmitted, 147 received, 2% packet loss, time 74577ms
rtt min/avg/max/mdev = 0.306/3.421/12.077/3.436 ms
